session_duration,inter_action_variance,actions_per_session,batch_size_mean,idle_ratio,tool_diversity,label,identity_type,is_compromised,source,backend,scenario
38.79,0.1687,18.0,1.0,0.0,7.0,agent_compromised,agent,True,harness_mock,MockVulnerableBackend,batch_injected_scope_creep
389.2035317055276,4.960336851858044,19.99785141243737,1.2858142326095932,0.0731454210208589,2.234476787814348,human_compromised,human,True,synthetic,simulator,
36.448,0.196,18.0,1.0,0.0,7.0,agent_compromised,agent,True,harness_mock,MockVulnerableBackend,batch_injected_scope_creep
10.045,0.2506,4.0,1.0,0.0,4.0,agent_normal,agent,False,harness_mock,MockVulnerableBackend,benign
10.342,0.0056,4.0,1.0,0.0,4.0,agent_normal,agent,False,harness_mock,MockVulnerableBackend,benign
9.314,0.2721,4.0,1.0,0.0,4.0,agent_normal,agent,False,harness_mock,MockVulnerableBackend,benign
35.581,0.1675,16.0,1.0,0.0,4.0,agent_normal,agent,False,harness_mock,MockVulnerableBackend,batch_injected_scope_creep
964.07623732683,72.41081977228264,11.31474064933298,1.0,0.4634389151052652,1.4728235827219716,human_normal,human,False,synthetic,simulator,
1057.1309873039677,46.51426575913668,16.472993439149896,1.492971123905135,0.7233082832014264,2.53254084907542,human_normal,human,False,synthetic,simulator,
501.1012689594073,61.25202575507289,14.96733993193712,1.2954403163713777,0.3293210054662779,3.4303366774389072,human_normal,human,False,synthetic,simulator,
260.1959837528618,21.93829582584616,39.29787452470418,1.4391673408097565,0.1734646187704759,5.148332353212044,human_compromised,human,True,synthetic,simulator,
513.533920839755,26.821331667135357,25.610148554142054,1.344740268799964,0.2519507060201323,2.989787222309245,human_compromised,human,True,synthetic,simulator,
28.652,0.149,16.0,1.0,0.0,4.0,agent_normal,agent,False,harness_mock,MockVulnerableBackend,batch_benign
8.236,0.0914,4.0,1.0,0.0,4.0,agent_normal,agent,False,harness_mock,MockVulnerableBackend,benign
10.077,0.132,4.0,1.0,0.0,4.0,agent_normal,agent,False,harness_mock,MockVulnerableBackend,injected_narrow
38.238,0.3253,18.0,1.0,0.0,7.0,agent_compromised,agent,True,harness_mock,MockVulnerableBackend,batch_injected_scope_creep
496.50595393004255,3.5869532144352902,27.2938766149246,3.520432204347288,0.2916944415790647,6.408823337112197,human_compromised,human,True,synthetic,simulator,
37.879,0.2521,18.0,1.0,0.0,7.0,agent_compromised,agent,True,harness_mock,MockVulnerableBackend,batch_injected_scope_creep
873.2187308407197,42.64778289149759,2.46661461492765,1.8235264991196345,0.6704905846411846,5.886744055518859,human_normal,human,False,synthetic,simulator,
34.796,0.1913,18.0,1.0,0.0,7.0,agent_compromised,agent,True,harness_mock,MockVulnerableBackend,batch_injected_scope_creep
33.809,0.1737,16.0,1.0,0.0,4.0,agent_normal,agent,False,harness_mock,MockVulnerableBackend,batch_benign
131.2605967346768,4.511041557012579,18.90896856176679,1.0404785393407718,0.1176717401483637,1.0,human_compromised,human,True,synthetic,simulator,
411.19226504775327,38.53339373742408,27.261080100443717,2.7198606657026265,0.1835845672885823,6.322550217766089,human_compromised,human,True,synthetic,simulator,
10.737,0.0118,4.0,1.0,0.0,4.0,agent_normal,agent,False,harness_mock,MockVulnerableBackend,injected_scope_creep
9.989,0.0972,4.0,1.0,0.0,4.0,agent_compromised,agent,True,harness_mock,MockVulnerableBackend,injected_narrow
15.489,0.0595,6.0,1.0,0.0,6.0,agent_compromised,agent,True,harness_mock,MockVulnerableBackend,injected_scope_creep
457.778229079128,17.227283841206116,40.4708948613161,2.1463430028311663,0.150495669700907,5.27085197049106,human_compromised,human,True,synthetic,simulator,
618.1306948520471,14.287158601477614,3.541083426313138,1.0,0.5383054917322726,4.212821624403027,human_normal,human,False,synthetic,simulator,
9.813,0.2196,4.0,1.0,0.0,4.0,agent_normal,agent,False,harness_mock,MockVulnerableBackend,benign
410.8989038512355,44.38804429652406,24.802421401641485,2.3740918612541506,0.280473169982152,5.315866697669391,human_compromised,human,True,synthetic,simulator,
82.08636798567792,22.96408048981009,34.04918518693884,1.7387013331457573,0.1188252091095447,2.329086299280255,human_compromised,human,True,synthetic,simulator,
8.614,0.0185,4.0,1.0,0.0,4.0,agent_compromised,agent,True,harness_mock,MockVulnerableBackend,injected_narrow
971.7102539825264,45.642153479418695,12.01865130111382,1.2186229893311444,0.4566325504350275,1.975362297622238,human_normal,human,False,synthetic,simulator,
369.9493158255625,9.671803482025696,38.79832329754388,3.309140169873332,0.078600490276532,4.517261090597268,human_compromised,human,True,synthetic,simulator,
