session_duration,inter_action_variance,actions_per_session,batch_size_mean,idle_ratio,tool_diversity,label,identity_type,is_compromised,baseline_pred,classifier_pred,iforest_pred,missed_by,n_detectors_missed
455.0354112066328,52.9398260899768,21.72042185481631,1.284266751089848,0.7329283737834122,2.304299337972848,human_normal,human,False,False,False,True,iforest,1
79.83061895479183,4.2937503462436375,33.70293457803924,3.21348488600092,0.0194761450801625,5.34045031691416,agent_normal,agent,False,True,True,False,"baseline,classifier",2
37.5788421150275,2.0690866441762714,37.78391549959366,3.8598648715719936,0.0388777326063345,3.3154113552616025,agent_normal,agent,False,True,False,False,baseline,1
10.0,27.881822320641653,25.0518644865902,1.0,0.238341217409059,3.024964440302611,human_compromised,human,True,True,False,False,"classifier,iforest",2
46.11641656318787,5.02956847392482,29.352908370438943,5.233842460865434,0.0156090618208373,4.121387849878244,agent_normal,agent,False,True,False,False,baseline,1
66.22420786866779,5.358804849453204,12.78202348301091,3.597410397245393,0.0451297342984327,3.609231768700422,agent_normal,agent,False,True,False,False,baseline,1
102.58377490290442,0.0,26.37705051696692,3.8095882429899546,0.0347607875823275,5.049264709688117,agent_normal,agent,False,True,False,False,baseline,1
221.6381352853465,19.26001616952151,21.29386946460138,3.030452856209748,0.127918121444967,2.890315331362854,human_compromised,human,True,True,False,False,"classifier,iforest",2
248.5733020635245,17.21449171405571,22.42682114734328,2.460277865446056,0.1265049296225431,5.453746036025475,human_compromised,human,True,True,True,False,iforest,1
293.7304158186731,11.85454191389386,11.269493404313582,2.8619828341757465,0.185241937901004,2.06028496778573,human_compromised,human,True,True,False,False,"classifier,iforest",2
151.941726819467,12.400949572716872,37.04507551606156,3.29129113841959,0.0830954875826177,3.93708619538641,human_compromised,human,True,True,False,False,"classifier,iforest",2
317.7996254585994,32.9086756099303,42.22829883369059,1.4010489013040348,0.3174431682395295,3.760092672214298,human_compromised,human,True,False,True,True,baseline,1
95.69237537210216,36.20204061514414,46.21674985065941,1.5256593037436803,0.0455191105693412,3.2078223844484404,human_compromised,human,True,True,True,False,iforest,1
313.4263499645721,34.359534427844125,29.27636218879745,1.604338494270714,0.0514125025007454,5.361919914842264,human_compromised,human,True,True,True,False,iforest,1
113.1359760649972,3.5034929347356454,25.76859952683405,4.246853929131216,0.0420162109805954,2.5791251496560488,agent_normal,agent,False,True,False,False,baseline,1
100.61423241537172,2.443651431444268,33.36160405490603,1.9535703004516176,0.0379776361189613,1.7101063999529251,agent_normal,agent,False,True,False,False,baseline,1
86.3750517134342,4.956561401460355,35.37187916007427,5.027604361401174,0.031854524104479,2.2273673166930674,agent_normal,agent,False,True,False,False,baseline,1
199.66359899948708,34.829394715929695,18.07985050767786,1.7773068477591212,0.1879358919667112,4.880291204608297,human_compromised,human,True,True,True,False,iforest,1
190.43609544510429,4.495113969377588,26.134154336276318,3.3706553894356035,0.0178566582771197,6.638326122267631,agent_normal,agent,False,True,True,False,"baseline,classifier",2
91.29998311087093,6.1010672998130016,25.209389236345725,4.97016147340598,0.0180289853047933,5.224062857882672,agent_normal,agent,False,True,False,False,baseline,1
258.11686211824747,23.83464808068034,23.67654326642514,2.462718558413471,0.1183377194938142,3.705904721182546,human_compromised,human,True,True,False,False,"classifier,iforest",2
383.219478258797,14.846328249265987,30.332520212137634,2.4535765276669785,0.3116281753563726,4.471312605468659,human_compromised,human,True,True,False,False,"classifier,iforest",2
94.33470243447935,5.63881224172959,26.44444380965521,1.0,0.0378451415414229,3.8498207245951206,agent_normal,agent,False,True,True,False,"baseline,classifier",2
294.7981124972115,45.72136189732376,13.081186890581249,1.0,0.1898979634739234,5.417283812974015,human_compromised,human,True,False,True,False,"baseline,iforest",2
100.19005519225377,5.321345826004501,33.41559688631348,4.622295306058376,0.0072635715497314,4.55155484376957,agent_normal,agent,False,True,False,False,baseline,1
114.13133479485654,6.143805912365316,25.19694056866919,4.43118312603923,0.044922006690898,3.9890258009575783,agent_normal,agent,False,True,False,False,baseline,1
87.50395365773852,0.1019228621641512,39.81961037446924,5.085536133181201,0.0153426123354282,1.2911386462317682,agent_normal,agent,False,True,False,True,"baseline,iforest",2
349.5779292881393,23.6365793951926,20.332108119564804,2.24089979428162,0.1997136240386094,3.808593449173188,human_compromised,human,True,True,False,False,"classifier,iforest",2
92.2634667533059,3.9072925948384687,22.99759351870147,2.60390080369312,0.0405012821996788,4.084017439562003,agent_normal,agent,False,True,False,False,baseline,1
51.676491783467,5.505603645883542,39.71777179598224,4.377546853565853,0.0006898868764219,2.6231142923615023,agent_normal,agent,False,True,False,False,baseline,1
273.8738156668202,13.677761648153876,25.434500243514577,1.9860528824407928,0.1991930201356309,6.144790216058705,human_compromised,human,True,True,True,False,iforest,1
104.73303938797348,11.60897482203144,27.832867981506457,2.5729565917701405,0.1571294613497437,5.497444520638039,human_compromised,human,True,True,True,False,iforest,1
